please insert the size of benes network :Enter input and output port number: 
 0st input/output:  1st input/output:  2st input/output:  3st input/output:  4st input/output:  5st input/output:  6st input/output:  7st input/output:  8st input/output:  9st input/output:  10st input/output:  11st input/output:  12st input/output:  13st input/output:  14st input/output:  15st input/output:  16st input/output:  17st input/output:  18st input/output:  19st input/output:  20st input/output:  21st input/output:  22st input/output:  23st input/output:  24st input/output:  25st input/output:  26st input/output:  27st input/output:  28st input/output:  29st input/output:  30st input/output:  31st input/output:  32st input/output:  33st input/output:  34st input/output:  35st input/output:  36st input/output:  37st input/output:  38st input/output:  39st input/output:  40st input/output:  41st input/output:  42st input/output:  43st input/output:  44st input/output:  45st input/output:  46st input/output:  47st input/output:  48st input/output:  49st input/output:  50st input/output:  51st input/output:  52st input/output:  53st input/output:  54st input/output:  55st input/output:  56st input/output:  57st input/output:  58st input/output:  59st input/output:  60st input/output:  61st input/output:  62st input/output:  63st input/output:  64st input/output:  65st input/output:  66st input/output:  67st input/output:  68st input/output:  69st input/output:  70st input/output:  71st input/output:  72st input/output:  73st input/output:  74st input/output:  75st input/output:  76st input/output:  77st input/output:  78st input/output:  79st input/output:  80st input/output:  81st input/output:  82st input/output:  83st input/output:  84st input/output:  85st input/output:  86st input/output:  87st input/output:  88st input/output:  89st input/output:  90st input/output:  91st input/output:  92st input/output:  93st input/output:  94st input/output:  95st input/output:  96st input/output:  97st input/output:  98st input/output:  99st input/output:  100st input/output:  101st input/output:  102st input/output:  103st input/output:  104st input/output:  105st input/output:  106st input/output:  107st input/output:  108st input/output:  109st input/output:  110st input/output:  111st input/output:  112st input/output:  113st input/output:  114st input/output:  115st input/output:  116st input/output:  117st input/output:  118st input/output:  119st input/output:  120st input/output:  121st input/output:  122st input/output:  123st input/output:  124st input/output:  125st input/output:  126st input/output:  127st input/output:  128st input/output:  129st input/output:  130st input/output:  131st input/output:  132st input/output:  133st input/output:  134st input/output:  135st input/output:  136st input/output:  137st input/output:  138st input/output:  139st input/output:  140st input/output:  141st input/output:  142st input/output:  143st input/output:  144st input/output:  145st input/output:  146st input/output:  147st input/output:  148st input/output:  149st input/output:  150st input/output:  151st input/output:  152st input/output:  153st input/output:  154st input/output:  155st input/output:  156st input/output:  157st input/output:  158st input/output:  159st input/output:  160st input/output:  161st input/output:  162st input/output:  163st input/output:  164st input/output:  165st input/output:  166st input/output:  167st input/output:  168st input/output:  169st input/output:  170st input/output:  171st input/output:  172st input/output:  173st input/output:  174st input/output:  175st input/output:  176st input/output:  177st input/output:  178st input/output:  179st input/output:  180st input/output:  181st input/output:  182st input/output:  183st input/output:  184st input/output:  185st input/output:  186st input/output:  187st input/output:  188st input/output:  189st input/output:  190st input/output:  191st input/output:  192st input/output:  193st input/output:  194st input/output:  195st input/output:  196st input/output:  197st input/output:  198st input/output:  199st input/output:  200st input/output:  201st input/output:  202st input/output:  203st input/output:  204st input/output:  205st input/output:  206st input/output:  207st input/output:  208st input/output:  209st input/output:  210st input/output:  211st input/output:  212st input/output:  213st input/output:  214st input/output:  215st input/output:  216st input/output:  217st input/output:  218st input/output:  219st input/output:  220st input/output:  221st input/output:  222st input/output:  223st input/output:  224st input/output:  225st input/output:  226st input/output:  227st input/output:  228st input/output:  229st input/output:  230st input/output:  231st input/output:  232st input/output:  233st input/output:  234st input/output:  235st input/output:  236st input/output:  237st input/output:  238st input/output:  239st input/output:  240st input/output:  241st input/output:  242st input/output:  243st input/output:  244st input/output:  245st input/output:  246st input/output:  247st input/output:  248st input/output:  249st input/output:  250st input/output:  251st input/output:  252st input/output:  253st input/output:  254st input/output:  255st input/output: 



[stage 0]	[stage 1]	[stage 2]	[stage 3]	[stage 4]	[stage 5]	[stage 6]	[stage 7]	[stage 8]	[stage 9]	[stage 10]	[stage 11]	[stage 12]	[stage 13]	[stage 14]	
[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	
[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	
[ cross ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[ cross ]	[ cross ]	[  bar  ]	
[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	
[ cross ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	
[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	
[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	
[  bar  ]	[ cross ]	[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	
[ cross ]	[ cross ]	[ cross ]	[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	
[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[ cross ]	[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[ cross ]	
[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	
[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	
[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	
[  bar  ]	[  bar  ]	[ cross ]	[ cross ]	[ cross ]	[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	
[ cross ]	[  bar  ]	[ cross ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[  bar  ]	[ cross ]	[ cross ]	[ cross ]	[  bar  ]	[  bar  ]	[ cross ]	
[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[ cross ]	[ cross ]	[  bar  ]	[ cross ]	[ cross ]	[ cross ]	[ cross ]	[ cross ]	[ cross ]	[ cross ]	[  bar  ]	
